,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p>Per causes que encara s’estan investigant, un turisme ha sortit de la via i com a conseqüència de l’accident la passatgera davantera del vehicle, S. A. N., de 22 anys d’edat i amb veïnatge a Girona, ha mort. En el sinistre, l’acompanyant del cotxe ha sortit projectada del vehicle i, després de ser atesa pels equips d’emergències, ha acabat morint en el trasllat cap a l’hospital de Blanes.</p>
<p>Segons han informat els Mossos d’Esquadra el conductor del cotxe, que ha resultat ferit lleu, ha estat detingut per un homicidi per imprudència greu, al conduir sota els efectes de les drogues, i per conducció temerària.</p>
<p>Arran de la incidència, s’han activat sis patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM). La carretera ha tingut afectació viària amb pas alternatiu fins a les tres de la matinada.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p>
<p> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220219_acc_C63
1146," Dijous, 17 de febrer de 2022", 10.15 ," N-240, al punt quilomètric 4,3 a Tarragona (Tarragonès)",17/02/2022,12:41,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 17 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya, 3 de les quals vianants (dades provisionals)</strong></p>
<p><strong>DIA: Dijous, 17 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 10.15 h</strong></p>
<p><strong>VIA: N-240, al punt quilomètric 4,3 a Tarragona (Tarragonès)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que s’ha registrat un sinistre viari mortal a la carretera N-240 al punt quilomètric 4,3 a l’altura de Tarragona (Tarragonès) en sentit Valls. Els Mossos d’Esquadra han rebut l’avís a les 10.15 h.</p>
<p>Per causes que encara s’estan investigant, hi ha hagut un atropellament d’una vianant per part d’un turisme. Es tracta d’A.H.R., de 65 anys i veïna de Tarragona.</p>
<p>Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>La via s’ha tallat en els dos sentits de la marxa i s’han fet desviaments. La situació s’ha normalitzat cap a les 12.12 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220217_acc_N240
1147," Dimarts, 15 de febrer de 2022", 07.36 ," C-63, al punt quilomètric 64,4 a la Vall d’en Bas (Garrotxa)",15/02/2022,12:49,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 16 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dimarts, 15 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 07.36 h</strong></p>
<p><strong>VIA: C-63, al punt quilomètric 64,4 a la Vall d’en Bas (Garrotxa)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la carretera C-63 al punt quilomètric  64,4 a l’altura de la Vall d’en Bas (Garrotxa). Els Mossos d’Esquadra han rebut l’avís a les 07.36 h.</p>
<p>Per causes que encara s’estan investigant, hi ha hagut una col·lisió frontal entre un camió i un turisme. A conseqüència d’això, ha mort la conductora del turisme. Es tracta de M.D.F., de 33 anys, nacionalitat espanyola i veïna d’Olot.</p>
<p>Arran de la incidència, s’han activat sis patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a la incidència viària, a les 08.06 h, s’ha tallat la C-63 a la Vall d’en Bas en tots dos sentits. Hi ha hagut desviaments senyalitzats. La situació s’ha normalitzat a les 11.41 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220215_acc_C63
1148," Dilluns, 14 de febrer de 2022", 21.20 ," AP-7, al punt quilomètric 1,5, a la Jonquera (Alt Empordà), en sentit sud",15/02/2022,09:30,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 15 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dilluns, 14 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 21.20 h</strong></p>
<p><strong>VIA: AP-7, al punt quilomètric 1,5, a la Jonquera (Alt Empordà), en sentit sud</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal a l’autopista AP-7 al punt quilomètric 1,5 a l’altura de la Jonquera (Alt Empordà) en sentit sud. Els Mossos d’Esquadra van rebre l’avís a les 21.20 h.</p>
<p>Per causes que encara s’estan investigant, un turisme hauria atropellat una persona i, com a conseqüència d’això, aquesta va morir.</p>
<p>Arran de la incidència, es van activar set patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i una ambulància del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a la incidència viària, des de les 22.30 h només hi va haver un carril obert per circular a l’AP-7 a la Jonquera en sentit sud. La situació es va normalitzar a les 02.30 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220215_acc_AP7
1149," Dilluns, 14 de febrer de 2022", 14.15 ," C-12, al punt quilomètric 84 a Flix (Ribera d’Ebre)",14/02/2022,16:06,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 14 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dilluns, 14 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 14.15 h</strong></p>
<p><strong>VIA: C-12, al punt quilomètric 84 a Flix (Ribera d’Ebre)</strong></p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal a la carretera C-12 al punt quilomètric 84 a l’altura de Flix (Ribera d’Ebre). Els Mossos d’Esquadra han rebut l’avís a les 14.15 h.</p>
<p>Per causes que encara s’estan investigant, un turisme i un camió han xocat frontalment. A causa de l’accident, ha mort el conductor i únic ocupant del turisme. Es tracta d’un home de 42 anys i veí de Flix, FX.S.R.</p>
<p>Arran de la incidència, s’han activat dues patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i una ambulància i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a la incidència viària, s’ha tallat la via en els dos sentits de la marxa.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220214_acc_C12_Flix
1150," Dissabte, 5 de febrer de 2022", 10.52 ," N-145, al punt quilomètric 5 a les Valls de Valira (Alt Urgell)",05/02/2022,12:43,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 13 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dissabte, 5 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 10.52 h</strong></p>
<p><strong>VIA: N-145, al punt quilomètric 5 a les Valls de Valira (Alt Urgell)</strong></p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la carretera N-145 al punt quilomètric 5 a l’altura de les Valls de Valira (Alt Urgell). Els Mossos d’Esquadra han rebut l’avís a les 10.52 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït la sortida de via d’un turisme, que ha caigut per un barranc. Com a conseqüència de l’accident, ha mort el conductor i únic ocupant del vehicle. Es tracta d’un home de 58 anys, M.dB.G., veí d’Encamp (Andorra). </p>
<p>Arran de la incidència, s’han activat tres patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220205_acc_N145_VallsValira
1151," Divendres, 28 de gener de 2022", 12.56 ," GI-553, al punt quilomètric 5,8 a Sant Feliu de Buixalleu (La Selva)",28/01/2022,18:56,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 12 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Divendres, 28 de gener de 2022</strong></p>
<p><strong>HORA D'AVÍS: 12.56 h</strong></p>
<p><strong>VIA: GI-553, al punt quilomètric 5,8 a Sant Feliu de Buixalleu (La Selva)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquest migdia s’ha registrat un sinistre viari mortal a la carretera GI-553 al punt quilomètric 5,8 a l’altura de Sant Feliu de Buixalleu (La Selva), en sentit Arbúcies. Els Mossos d’Esquadra han rebut l’avís a les 12.56 h.</p>
<p>Per causes que encara s’estan investigant, hi ha hagut un xoc frontal entre un camió i un turisme. Com a conseqüència de l’accident, ha mort el conductor del turisme. Es tracta d’un home de 59 anys, M.V.V., veí de Sant Vicenç de Montalt. El conductor del camió ha resultat ferit menys greu i ha estat traslladat a l’hospital Josep Trueta de Girona.</p>
<p>Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat, que ha efectuat tasques d’excarceració, i una ambulància i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a l’afectació viària, la via s’ha tallat en els dos sentits.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220128_acc_GI553
